dataset,experiment,fig4,fig5d,fig5e,fold,behavior_class,f1,precision,recall,train_ground_truth_label_counts
HAR,harnet_nogyr,True,True,False,1,LAYING,1.0,1.0,1.0,109998
HAR,harnet_nogyr,True,True,False,1,SITTING,0.9613958192852325,0.9945936519009417,0.930342577487765,102037
HAR,harnet_nogyr,True,True,False,1,STANDING,0.968265272446197,0.9424175824175824,0.9955707958279755,109989
HAR,harnet_nogyr,True,True,False,1,WALKING,1.0,1.0,1.0,98563
HAR,harnet_nogyr,True,True,False,1,WALKING_DOWNSTAIRS,0.9997829390058607,0.99966239027684,0.9999035168121955,87046
HAR,harnet_nogyr,True,True,False,1,WALKING_UPSTAIRS,1.0,1.0,1.0,94186
HAR,harnet_nogyr,True,True,False,2,LAYING,1.0,1.0,1.0,108945
HAR,harnet_nogyr,True,True,False,2,SITTING,0.9515335986888317,0.9992400196700791,0.9081748740451812,101945
HAR,harnet_nogyr,True,True,False,2,STANDING,0.9610569531500786,0.9258764933754354,0.9990165086055497,109515
HAR,harnet_nogyr,True,True,False,2,WALKING,0.9935788399387652,0.9992729450004276,0.9879492600422833,98314
HAR,harnet_nogyr,True,True,False,2,WALKING_DOWNSTAIRS,0.9998628257887516,1.0,0.9997256892058702,85902
HAR,harnet_nogyr,True,True,False,2,WALKING_UPSTAIRS,0.9944043095168497,0.988870894065861,1.0,92711
HAR,harnet_nogyr,True,True,False,3,LAYING,0.980984381346232,0.9626784549605044,1.0,110177
HAR,harnet_nogyr,True,True,False,3,SITTING,0.940380277151144,0.956760522972253,0.924551467384847,101308
HAR,harnet_nogyr,True,True,False,3,STANDING,0.9619787019988232,0.9659576090271424,0.9580324397897841,111536
HAR,harnet_nogyr,True,True,False,3,WALKING,0.9903642279836254,0.9809123799226515,1.0,98376
HAR,harnet_nogyr,True,True,False,3,WALKING_DOWNSTAIRS,0.9993203496683776,0.9991564345299466,0.9994843185973465,86444
HAR,harnet_nogyr,True,True,False,3,WALKING_UPSTAIRS,0.988352891961514,0.9977772838408535,0.9791048682603385,93600
HAR,harnet_nogyr,True,True,False,4,LAYING,0.9950503068809734,1.0,0.9901493713507898,108828
HAR,harnet_nogyr,True,True,False,4,SITTING,0.9377355031875675,0.9590068321946342,0.9173873191726777,101464
HAR,harnet_nogyr,True,True,False,4,STANDING,0.9399629629629629,0.9182979339291529,0.9626749611197511,111622
HAR,harnet_nogyr,True,True,False,4,WALKING,0.9995553399628102,0.9991110751949573,1.0,97237
HAR,harnet_nogyr,True,True,False,4,WALKING_DOWNSTAIRS,0.9921411891503502,0.9859865220689963,0.9983731754711013,85646
HAR,harnet_nogyr,True,True,False,4,WALKING_UPSTAIRS,0.9930621910182378,0.9974130017524827,0.9887491727332892,92348
HAR,CRNN,True,False,False,1,LAYING,1.0,1.0,1.0,109998
HAR,CRNN,True,False,False,1,SITTING,0.9888034311400705,1.0,0.9778548123980424,102037
HAR,CRNN,True,False,False,1,STANDING,0.9905004510958977,0.9811796866785827,1.0,109989
HAR,CRNN,True,False,False,1,WALKING,0.9999358960661553,1.0,0.9998718003504123,98563
HAR,CRNN,True,False,False,1,WALKING_DOWNSTAIRS,0.9999276428450834,0.9998552961605248,1.0,87046
HAR,CRNN,True,False,False,1,WALKING_UPSTAIRS,0.9984781343717828,0.998344074471894,0.9986122302802399,94186
HAR,CRNN,True,False,False,2,LAYING,1.0,1.0,1.0,108945
HAR,CRNN,True,False,False,2,SITTING,0.9990663689872133,0.9981344796820505,1.0,101945
HAR,CRNN,True,False,False,2,STANDING,0.9988748637530326,0.9998944108123328,0.9978573937478047,109515
HAR,CRNN,True,False,False,2,WALKING,0.9996829623993405,0.9994083590415417,0.9999577167019027,98314
HAR,CRNN,True,False,False,2,WALKING_DOWNSTAIRS,0.9810651949567012,0.9631734284833268,0.9996342522744937,85902
HAR,CRNN,True,False,False,2,WALKING_UPSTAIRS,0.9818578113981666,0.9995649147232858,0.9647671439969765,92711
HAR,CRNN,True,False,False,3,LAYING,0.99636227264204,0.9927509154771691,1.0,110177
HAR,CRNN,True,False,False,3,SITTING,0.995084674931842,1.0,0.9902174343538358,101308
HAR,CRNN,True,False,False,3,STANDING,0.9966807655103086,1.0,0.9933834927596507,111536
HAR,CRNN,True,False,False,3,WALKING,0.9022528479617642,0.9964638958642956,0.8243174495506189,98376
HAR,CRNN,True,False,False,3,WALKING_DOWNSTAIRS,0.9791482973095347,0.9957347809228383,0.9631053396465238,86444
HAR,CRNN,True,False,False,3,WALKING_UPSTAIRS,0.8981710914454277,0.8177325789586765,0.9961612284069098,93600
HAR,CRNN,True,False,False,4,LAYING,1.0,1.0,1.0,108828
HAR,CRNN,True,False,False,4,SITTING,0.9480066880199834,0.9585302264950302,0.9377117124297613,101464
HAR,CRNN,True,False,False,4,STANDING,0.9517487107360525,0.9411764705882353,0.9625611652695065,111622
HAR,CRNN,True,False,False,4,WALKING,0.9816869347661137,0.9957979697120986,0.9679702349658268,97237
HAR,CRNN,True,False,False,4,WALKING_DOWNSTAIRS,0.9557667386609071,0.9153944809896156,0.9998644312892584,85646
HAR,CRNN,True,False,False,4,WALKING_UPSTAIRS,0.9700726350991544,1.0,0.9418845135671741,92348
HAR,CNN,True,False,False,1,LAYING,1.0,1.0,1.0,109998
