dataset,experiment,fig4,fig5d,fig5e,fold,individual,f1,precision,recall
HAR,harnet_nogyr,True,True,False,1,0,0.9975943300760292,0.9978338748646172,0.9973895582329316
HAR,harnet_nogyr,True,True,False,1,1,0.9943856370564467,0.9942500361071204,0.9946672504511755
HAR,harnet_nogyr,True,True,False,1,2,0.9697983627772891,0.9759269585627153,0.9687285223367698
HAR,harnet_nogyr,True,True,False,1,3,0.9685287815714085,0.9766813197918246,0.9659754209842126
HAR,harnet_nogyr,True,True,False,1,4,1.0,1.0,1.0
HAR,harnet_nogyr,True,True,False,1,5,0.9997168355614052,0.9997002997002996,0.9997338537970192
HAR,harnet_nogyr,True,True,False,2,6,0.9998757106525015,0.9998877917414721,0.9998637230853094
HAR,harnet_nogyr,True,True,False,2,7,0.9865311914574187,0.9871299511054162,0.9869096022884974
HAR,harnet_nogyr,True,True,False,2,8,0.9999560588281359,0.9999583229140617,0.9999538063562454
HAR,harnet_nogyr,True,True,False,2,9,0.999278443854165,0.9993892756809576,0.9991703028073529
HAR,harnet_nogyr,True,True,False,2,10,0.9883637277354076,0.9891099894685058,0.9882275757193805
HAR,harnet_nogyr,True,True,False,2,11,0.9356630378641984,0.9558845964014896,0.936751288630798
HAR,harnet_nogyr,True,True,False,3,12,0.9914503098379847,0.9922305403952856,0.9910346279895434
HAR,harnet_nogyr,True,True,False,3,13,0.9731057216593738,0.9753471119042483,0.9733671284555169
HAR,harnet_nogyr,True,True,False,3,14,0.9541588026143648,0.954588553865107,0.9539641319309408
HAR,harnet_nogyr,True,True,False,3,15,0.947783293225917,0.9525931470082214,0.9468635585430025
HAR,harnet_nogyr,True,True,False,3,16,1.0,1.0,1.0
HAR,harnet_nogyr,True,True,False,3,17,1.0,1.0,1.0
HAR,harnet_nogyr,True,True,False,4,18,1.0,1.0,1.0
HAR,harnet_nogyr,True,True,False,4,19,0.8767578320242762,0.8780082899431623,0.8778691077776376
HAR,harnet_nogyr,True,True,False,4,20,1.0,1.0,1.0
HAR,harnet_nogyr,True,True,False,4,21,0.9692542284504069,0.9759345419541151,0.967873206254016
HAR,harnet_nogyr,True,True,False,4,22,0.9982740774308825,0.998336654078262,0.9982232699679304
HAR,harnet_nogyr,True,True,False,4,23,0.9998143972913942,0.999813852274435,0.999815016677435
HAR,CRNN,True,False,False,1,0,0.9997831615029195,0.9997892429607149,0.9997773621871939
HAR,CRNN,True,False,False,1,1,0.9747025398448786,0.9791519925467446,0.9737098819627353
HAR,CRNN,True,False,False,1,2,0.9998604286274636,0.9998586772187675,0.9998622968879097
HAR,CRNN,True,False,False,1,3,0.9988703544254597,0.999059244374136,0.9986861954328422
HAR,CRNN,True,False,False,1,4,1.0,1.0,1.0
HAR,CRNN,True,False,False,1,5,1.0,1.0,1.0
HAR,CRNN,True,False,False,2,6,0.9650091308041158,0.9679808372974308,0.9682403107408137
HAR,CRNN,True,False,False,2,7,1.0,1.0,1.0
HAR,CRNN,True,False,False,2,8,1.0,1.0,1.0
HAR,CRNN,True,False,False,2,9,0.9999636995934806,0.9999693571122142,0.9999580501719944
HAR,CRNN,True,False,False,2,10,0.9983282210133471,0.9983072714799371,0.9983650112405478
HAR,CRNN,True,False,False,2,11,1.0,1.0,1.0
HAR,CRNN,True,False,False,3,12,0.9976952508688623,0.9978013349038083,0.9976208683830402
HAR,CRNN,True,False,False,3,13,0.9823199787055782,0.9828729552305141,0.9824063203185904
HAR,CRNN,True,False,False,3,14,0.751611753621685,0.9038029137647502,0.7973502422435633
HAR,CRNN,True,False,False,3,15,0.9973752705636184,0.9967830276089188,0.998009862114435
HAR,CRNN,True,False,False,3,16,1.0,1.0,1.0
HAR,CRNN,True,False,False,3,17,1.0,1.0,1.0
HAR,CRNN,True,False,False,4,18,1.0,1.0,1.0
HAR,CRNN,True,False,False,4,19,0.8652260116742488,0.8993679461786003,0.8712144697513097
HAR,CRNN,True,False,False,4,20,0.9989028808004141,0.9988653555219366,0.9989476145930777
HAR,CRNN,True,False,False,4,21,0.9715677941838111,0.9774606778011999,0.9702291711287213
HAR,CRNN,True,False,False,4,22,0.997699432535862,0.9976552244240255,0.997761374603448
HAR,CRNN,True,False,False,4,23,0.9625075935080908,0.969623952424306,0.9628047873922093
HAR,CNN,True,False,False,1,0,0.8591293808110736,0.9336874647059507,0.8735510348467804
HAR,CNN,True,False,False,1,1,0.9188782014177223,0.9250739658727221,0.921173972621756
HAR,CNN,True,False,False,1,2,0.9864689658337465,0.9867746363541766,0.9864649606415231
HAR,CNN,True,False,False,1,3,0.9583979697299004,0.9679541397472559,0.9555067704678035
HAR,CNN,True,False,False,1,4,0.9954240490203529,0.9952906782903123,0.9955744816897673
HAR,CNN,True,False,False,1,5,0.9992084663033057,0.999176014519255,0.9992425958474902
HAR,CNN,True,False,False,2,6,0.9838477798074413,0.9838519127503865,0.9839865155682931
