dataset,experiment,fig4,fig5d,fig5e,fold,individual,f1,precision,recall
vehkaoja_dogs,harnet_nogyr,True,True,False,1,0,0.8954223138860713,0.8887310659944674,0.9389365062623706
vehkaoja_dogs,harnet_nogyr,True,True,False,1,1,0.8732722488601028,0.8664190551225519,0.8902851264144552
vehkaoja_dogs,harnet_nogyr,True,True,False,1,2,0.7004248985382271,0.7464762867626327,0.7073864520346802
vehkaoja_dogs,harnet_nogyr,True,True,False,1,3,0.8916845645626783,0.898060262230248,0.8911022833797052
vehkaoja_dogs,harnet_nogyr,True,True,False,1,4,0.8313117324609132,0.8749836879651991,0.8247454880112955
vehkaoja_dogs,harnet_nogyr,True,True,False,1,5,0.7172033205702246,0.8032914800652103,0.7469267842097141
vehkaoja_dogs,harnet_nogyr,True,True,False,1,6,0.777564202752967,0.8455628618283786,0.8896799678520196
vehkaoja_dogs,harnet_nogyr,True,True,False,1,7,0.563197494140054,0.5779289631707385,0.6055699511109331
vehkaoja_dogs,harnet_nogyr,True,True,False,1,8,0.7285489779893701,0.7539076707389065,0.7605810895394597
vehkaoja_dogs,harnet_nogyr,True,True,False,2,9,0.7759765492911931,0.773571567566612,0.798354268967429
vehkaoja_dogs,harnet_nogyr,True,True,False,2,10,0.8359877428959673,0.8668709113767396,0.8370448036003182
vehkaoja_dogs,harnet_nogyr,True,True,False,2,11,0.7352846656749505,0.7455684795738292,0.8524587707719504
vehkaoja_dogs,harnet_nogyr,True,True,False,2,12,0.8791052608273396,0.8826008349704711,0.8848659899161073
vehkaoja_dogs,harnet_nogyr,True,True,False,2,13,0.8097387486138331,0.8452139265285329,0.8220342954521945
vehkaoja_dogs,harnet_nogyr,True,True,False,2,14,0.8026969458011904,0.84109519678276,0.7977177229268165
vehkaoja_dogs,harnet_nogyr,True,True,False,2,15,0.8540036435633941,0.8587231723549379,0.8523889592122003
vehkaoja_dogs,harnet_nogyr,True,True,False,2,16,0.8759637116141268,0.8882984354381094,0.900801376168344
vehkaoja_dogs,harnet_nogyr,True,True,False,2,17,0.8081178122389222,0.8330540988569634,0.8176836916541345
vehkaoja_dogs,harnet_nogyr,True,True,False,3,18,0.7854138136300164,0.7811270649707157,0.901840090519861
vehkaoja_dogs,harnet_nogyr,True,True,False,3,19,0.9552655075507931,0.948895141665864,0.9628925705875596
vehkaoja_dogs,harnet_nogyr,True,True,False,3,20,0.7535256088212137,0.741696595444197,0.8898763696042399
vehkaoja_dogs,harnet_nogyr,True,True,False,3,21,0.7247797804490174,0.7655288824983206,0.8019203546936307
vehkaoja_dogs,harnet_nogyr,True,True,False,3,22,0.849646368498025,0.8615988888483674,0.8425725965930915
vehkaoja_dogs,harnet_nogyr,True,True,False,3,23,0.9360449510943709,0.9337902148777162,0.9420412304737963
vehkaoja_dogs,harnet_nogyr,True,True,False,3,24,0.7143377651119743,0.764386740771737,0.8276201555253472
vehkaoja_dogs,harnet_nogyr,True,True,False,3,25,0.9044870291003385,0.9259523842682039,0.88952402945033
vehkaoja_dogs,harnet_nogyr,True,True,False,3,26,0.8944562898394715,0.8919913741087178,0.9486713772670115
vehkaoja_dogs,harnet_nogyr,True,True,False,4,27,0.8999182865333156,0.9142340774818365,0.9118598095840621
vehkaoja_dogs,harnet_nogyr,True,True,False,4,28,0.9686751136384714,0.9667360558795676,0.9715573751387532
vehkaoja_dogs,harnet_nogyr,True,True,False,4,29,0.918224994678421,0.9349022373370428,0.9160381693581879
